customer_message,brand_reply,customer_tweet_id,brand_tweet_id
@AppleSupport  phone messed up from updates 11.01.People can’t hear me.I was told can pay 300 for a new phone.But your updates broke myphone,@314067 We want to help look into this. Reach out to us in DM and we will work together to find a solution. https://t.co/GDrqU22YpT,814907,814906
@AppleSupport And yes I have restarted loads of times,@409894 We'd like to take a closer look. Send us a DM and we can start there. https://t.co/GDrqU22YpT,1235997,1236000
@AppleSupport Ahhhh yess I’m eligible! Thank you so much,"@225884 You're welcome. If you have questions in the future, feel free to reach out to us here.",954241,954240
@AppleSupport Quick question. How do I get rid of this square? https://t.co/yybSAibsT2,@287951 We're glad to help! It appears you've enabled an accessibility feature called Zoom. You can disable this option in Settings &gt; General &gt; Accessibility &gt; Zoom. It may be associated with the accessibility shortcut. Here's more information: https://t.co/aCPzL7RlUq,2346029,2346030
"@AppleSupport Happens mostly in FB and instagram. Installed and updated everything last night. Shut down phone last night, didn’t help, haven’t this a.m.",@410910 Understood! Let's see if we can delete and reinstall both FaceBook and Instagram to see if the issues persist: https://t.co/bNH7gNvF9e Let us know the results once completed.,2732917,2732919
@115858 where is the update that fixes that capital i?,@512942 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1689401,1689400
@AppleSupport I have a backup on iCloud - updates nightly. Is that sufficient?,"@776600 That'll do it! You'll want to be sure that any data that was saved after your last backup is included as well. When you're ready, you can go to Settings &gt; [your name] &gt; iCloud &gt; iCloud Backup. 
Let us know if you have any other questions for us. We're here for you.",2780602,2780604
@AppleSupport will photos get copied to new mobile via new ios 11 new phone setup without iCloud photo library activated ?,"@740284 Great question. To access your iCloud Photos on a new device, you'll need to turn on iCloud Photo Library. Check out the following article for more information: https://t.co/8YUslsnsM5",2619740,2619739
@AppleSupport Is there a way to check the overall battery health of my iPhone 6S Plus?,@780074 We want to help. DM us and we'll work from there. https://t.co/GDrqU2kzhr,2795484,2795483
"Everyone told me to switch to @115858 that I️ won’t regret leaving Galaxy. Less than a month w/ 8+, there’s glitches with just typing “I️”",@599689 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,2027934,2027933
@AppleSupport IPhone 7+ and the latest update,@272908 DM us using the link below. We'll work with you from there. https://t.co/GDrqU22YpT,644207,644206
@121122 why does my iPhone keep shutting down? Brings up a loading screen every now and again?? @AppleSupport was really hot about an hour ago as well and it wasn’t on charge was just on the side,"@246273 Thank you for that information.  Create a current iTunes or iCloud backup, and follow the steps in this article: https://t.co/osZOKKTalm.",543648,543647
"@AppleSupport Last night, my contacts were there. Today, I am missing numerous contact names and emails, but their number remains",@681658 Have you tried a basic restart of your iPhone to see if the names appear as they should?,2360415,2360417
"MBP and iPhone both crashing a lot now. Come on @AppleSupport, fix these issues.",@378851 Let's look into this for you. How often do you experience this? Let us know in DM: https://t.co/GDrqU22YpT,1096922,1096921
@AppleSupport since upgrading to the latest iOS my iPhone 7 is constantly freezing. So annoying!,@150777 We'd like to know more. Let us know in DM which iOS version is currently installed &amp; if this is happening with a specific app. https://t.co/GDrqU22YpT,2095327,2095326
@AppleSupport @115858 #siri Siri thinks the Apple store opens at 10.  It’s closed until 11.  I asked Siri who I should report the bug to... https://t.co/VLbb5wHKEZ,@503602 We're here to help! DM us and we'll review your options. https://t.co/GDrqU22YpT,1648459,1648458
@AppleSupport my macbook won't sync iMessages with the iPhone. why is that?,"@156915 Let's look into this for you. When did you first notice this issue? Also, which version of macOS are you currently using?",2917307,2917305
@AppleSupport I’m from India. A friend of mine is flying from US and I want to get an iPhone X. The verizon version A1865 is the one that supports here. But while pre-ordering is it necessary to put Contract info? I cannot get the unlocked one?,"@576626 Thank you for reaching out about purchasing the iPhone X. To make certain you get the correct information, we recommend contacting our Sales Support team here: https://t.co/8yjRd1Xo0i",2298288,2298287
@AppleSupport High Sierra I believe,"@260898 Thanks for confirming.  Is your network strong?  Are you connected wirelessly or with an Ethernet connection?  Also, are you able to see the progress bar moving?",594688,594690
@AppleSupport will there be an update on ios11? My phone is running very slow now and I have plenty of gb,"@619200 We’d like to look into this with you. To start, please send us a DM letting us know which iPhone you’re using. https://t.co/GDrqU22YpT",2095926,2095925
@115858 needs to fix this dumb ass question mark shit,"@596073 We're here for you. Can you let us know, in DM, where you're noticing these question marks? Specifically, which app(s)? https://t.co/GDrqU22YpT",2015753,2015752
"@AppleSupport Yes, with both.",@336779 Do also experience this issue with other apps like iTunes and App Store?,912842,912844
"@AppleSupport apple store employees i spoke w/ recommended against using my mbpro 87W adapter to fast charge my iphone x, although it is listed as compatible on the apple site. dunno which to believe…any downside to using this adapter?","@668889 Hi there, and thanks for reaching out to us! You can use your USB-C Power Adapter to fast charge your iPhone. You can find this information listed here: https://t.co/M0KamLrtwG

Let us know if you have any other questions!",2305488,2305486
@115858 since the #ios11update my phone is now actually laggy! Can’t listen to podcasts and do something else now! Absolutely crap update!!!,@567890 We can help out with the iPhone performance. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,1905814,1905813
@AppleSupport what do I do if I think my account has been hacked,@536433 Your security is important to us.  Please send us a DM and we'll get you pointed in the right direction to secure your account. https://t.co/GDrqU22YpT,1785455,1785454
There it is again 🙃🙃🙃@AppleSupport wtf is this https://t.co/5Aw0qHLh4M,@490095 We'd recommend trying the steps here: https://t.co/sDSg93LaFu let us know in DM if the issue continues. https://t.co/GDrqU22YpT,1595002,1595001
@AppleSupport @115858 Since the new iOS update my phone keeps freezing - do you know why?,"@365418 Let's get that taken care of together. Is this behavior happening with all apps, or is it isolated to certain specific apps?",1037449,1037448
"@AppleSupport Seriously, come on.","@327974 We’d like to offer our support. Which iPhone do you use? Also, which version of OS is running on your iPhone and Watch?",1434160,1434159
"@AppleSupport Checked time- battery at 54%, checked again 5 minutes later, it was down to 13%. Phone was doing nothing in between. This only happened since installing ios 11. I’ve done all I can think of to reduce battery drain. Help!!","@764997 Hey there. We appreciate you reaching out. What model iPhone are you using, and what is the exact iOS version installed in Settings &gt; General &gt; About? Also, let's make sure your settings are adjusted for improved battery life as listed here: https://t.co/bivpdfBNJ6",2728286,2728284
"I just got this to my email @115858 @AppleSupport?!? Is this fraud?!? Feels like fraud, kinda looks like fraud?! https://t.co/pGXl7kEV6T",@666669 That does appear to be a phishing attempt. You can read more about how to identify and report those here: https://t.co/LNMCdqt6fD,2296156,2296154
@AppleSupport 7plus and home@wifi,@277899 Thanks for confirming. Let's move to DM so we can dive into what's going on. Use the link below: https://t.co/GDrqU22YpT,2422522,2422524
#ios11 you are killing me! So many bugs &amp; battery life of &lt;20min ! @115858 @AppleSupport #Apple #iphonebugs #iphone,@765474 That is certainly not the experience we want you to have. Which iPhone model do you own?,2730350,2730348
@AppleSupport  https://t.co/rpeBYtGJQT,"@650961 You're absolutely right, you have plenty of iCloud space. What is happening when you try to back up? Are you getting an error message or does the backup just not complete?",2686656,2686658
@AppleSupport why is airplay from my macbook air to apple tv 3 always buffering while casting to chromecast is flawless?,@500567 Let's see how we can help. Have you been successful in using AirPlay between these devices in the past?,1636565,1636563
@AppleSupport worst upgrade ever ......SUCKS.nothing but problems and now I can’t instal latest upgrade that I need ! My phone is useless! https://t.co/06HMV6M5Ka,@541811 We want to help in any way we can. Check out the steps here and let us know the result: https://t.co/Ui1yTnOCUz,1803135,1803134
@AppleSupport iOS 11.0.2 keeps crashing! 👍🏻,"@297850 We're here to help. Can you please message us in DM, with more details? https://t.co/GDrqU22YpT",743825,743824
Why is my battery life going backwards when its on the charger? @115858 tf is that about?!,"@__diorable__ Battery life is important, and we're here for you. To start, which device are you experiencing this on?",1645882,1645880
"Updated to iOS 11.1.2. Every 5 mins phone vibrates, black screen, loading wheel and then asks for password. No Apple store in Melbourne (?) plz halp @AppleSupport",@231638 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,489716,489715
"@AppleSupport Battery life reduced to 1/2 a day, iMessages are hidden by reply window/keyboard, processing time slowed considerably",@656938 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,2255486,2255485
@AppleSupport I’m updated to 11.0.3 too,@297538 We'd be happy to look into this with you further. DM us and we'll go from there. https://t.co/GDrqU22YpT,742518,742520
Hey @115858 I know you released a new phone but don't make everyone else's phones slow and fuck up. Some people are poor.,@755946 We'd be happy to assist with this. Could you please confirm for us what kind of iPhone you're using and what iOS version it's running?,2688603,2688601
"Dear @AppleSupport, please fix the assistive touch in ios 11.1. Kthx. https://t.co/zhE5V3kM5m",@470012 We're always here to help. What issues are you currently having with AssistiveTouch exactly?,1508024,1508022
"@AppleSupport When driving mode is on and I receive a call, I can’t turn volume up or down from my Apple headphones.",@524167 Hey there! We've received your DM and will join you there shortly. Thanks!,1736100,1736099
@AppleSupport Do you have an estimated date on when Photos for MacOS 10.13 will be fixed? My Christmas projects are backing up due to this.,@238537 We want to get you in the right direction for assistance. Reach out to our Photos experts through the following link:  https://t.co/IBIY3vMgPj,514777,514776
@AppleSupport I had a purchase. Apparently it was initially purchased on October 28 and now I was charged 100 today for it.  It was not authorized and I’m concerned someone has my idea,"@820677 We wouldn't want you to be charged for something you didn't authorize, and want to get you to the right place for help with this. Reach out to our iTunes Store team here: https://t.co/SDIe7UiyJN They'd be happy to look into this further for you.",2975713,2975711
@AppleSupport You got late. Its been solved.,@439956 Great. Let us know if you have any further questions. We're happy to help.,1374594,1374596
"Since this updated ios from @AppleSupport my phone doesnt work correctly!! Apps keep crashing, screen touch not correct + more! #nomoreapple",@281267 We'd like to work with you. Let's continue our conversation in DM. https://t.co/GDrqU22YpT,676050,676049
@115858 Where can I report a major issue with your phones predictive text?,@259835 Please tell us more about what you're experiencing. We're here to help.,2623978,2623975
@AppleSupport I need help urgently as I’ve Mahabad to purchase and year sucricprition and didn’t mean to,@402726 Hello! We've received your DM and will proceed from there.,1203498,1203497
#iOS11 is the worst update compare to other iOS’s version. PLEASE FIX THIS FAST @115858,@539900 Are you using a specific app when this occurs? Have you updated to iOS 11.0.3? Let's get together in a DM and work together. https://t.co/GDrqU22YpT,1796817,1796816
@115858 fix this iOS 11 update PLEASE.,@216744 What's going on with your device? We might be able to help.,427845,427844
"@AppleSupport So far seems to have worked ! Thanks so much ! my son is working on his phone now , fingers crossed it works","@248698 That's great news to hear. If anything comes up on his device, keep us posted and we'll be here to help.",552092,552093
@115858 has really been shitting the bed lately. I've had more issues with the iPhone 7 than all my iPhones combined since second gen. https://t.co/TBFb74uRy4,@555658 We'd like to help. DM us if you're having similar issues in other apps and we'll be glad to continue support there. https://t.co/GDrqU22YpT,1858291,1858290
I love when the sound on my phone just stops working thanks @115858,"@732033 We want the sound to work for you, and we'd love to help. Which software version are you using? Also, are you unable to hear all audio?",2583155,2583154
@AppleSupport I bought an iPhone 8 in the US recently and was assured it was unlocked by the staff at @127271 - it isn’t. Any options?,"@448921 Hi, we'd like to help cover some information with you. Please DM us and we can assist further. https://t.co/GDrqU22YpT",1496721,1496720
"@115858 my WhatsApp doesn’t work with iOS 11, and the keyboard have a delay when I push the letters 😡 #ios11 #sucks #ios11sucks",@216586  Hey there! Let's look into this together. Could you tell which iPhone and specific iOS version number you're using?,427099,427098
@AppleSupport Problem is with the new ios. Look at the screen all messed up. It happened 3 times.,@432314 We can assist you with this. Please DM us via the following link and we'll help you from there. https://t.co/GDrqU22YpT,1338923,1338925
@AppleSupport But I have enough availabe storage space and full wi-fi network. Also already tried to remove and download the ios again,@728452 Are you able to try the update via iTunes on a computer as described here?: https://t.co/80YRnjDFDk,2568139,2568140
"@AppleSupport nothing it just pops up and says facetiming but doesn’t ring, and when people call me on ft it doesn’t go through at all","@424257 Okay, thanks. Is this happening on Wi-Fi or cellular?",1301901,1301902
Fuck @115858 my goddamn iPhone 7+ I just got should not be fucking lagging like this. Like it’s brand new makes me never want to get another!,@565011 We'd like to look into this with you and help! We want your awesome new iPhone working properly too. Please DM us to proceed. https://t.co/GDrqU22YpT,1895627,1895626
my phone keeps turning on and off while on the charger help @applesupport,@412438 We're happy to help. Are you using the charger that came with your iPhone? Are you using a specific app when it turns off?,1246459,1246458
My Apple Music has been messing up since the new update! Cannot think of a worse possible outcome. Not the music @115858,"@668731 What's happening specifically with Apple Music? We'd love to know the details via DM to see how we can help. When you reach out, be sure to let us know what type of device you're using. https://t.co/GDrqU22YpT",2304870,2304869
Y’all. What is going on? @115858 fix this😑🙄 https://t.co/RkSIUcU53Q,@497762 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,1625388,1625387
@115858 my screen recording isn’t working it just has a countdown then it stops please help me and contact me when you can.,"@760587 We definitely want to work out any issues you have with the screen recording feature. Send us your current iOS version in DM, and we’ll take a look at this together. https://t.co/GDrqU22YpT",2708490,2708489
@AppleSupport what does the message mean? Today I noticed that my account was already disabled? https://t.co/o17QLruGII,@563424 We completely understand the concern. Have you clicked on that link or entered any information in the site it links to? https://t.co/iwuQ9w9fdA,1889302,1889301
@applesupport my phone keeps saying storage almost full I've deleted apps photos and videos and it's still at the same space level help,"@397859 We're here to help. Can you tell us when you deleted your items, did you do a restart to your iPhone?",1181511,1181510
"Every time I try to type “it”, my phone autocorrects to “I.T” WTF @115858 @AppleSupport. These updates have been pure trash!","@448740 We’d like to look into this with you. To start, please send us a DM confirming which iPhone and software version you’re using. https://t.co/GDrqU2kzhr",2578723,2578722
@AppleSupport I'm trying to get into contact with someone from customer support. But your stupid automated answer is useless. I need to speak to an actual person. Where can I call?,@278228 We can definitely help get you in contact with our local phone support or assist here over Twitter. Which ever works best for you. Select the following link to join us in a DM and we'll take it from there. https://t.co/GDrqU22YpT,663934,663933
@447923 @115858 @AppleSupport y’all gonna help us 👀,@456275 Thank you for reaching out! Please send us a DM and we'll be glad to look into this with you. https://t.co/GDrqU22YpT,1449185,1449184
@AppleSupport But won’t that erase everything I’ve downloaded from Apple Music? That makes me nervous 😳,"@258749 If you turn off iCloud Music Library, it will erase all your music you've downloaded for offline listening. If the songs aren't available in our Apple Music catalog, this is the only way to sync them to your iPhone. Send us a DM if you have any additional questions. https://t.co/GDrqU22YpT",2406572,2406573
"Seriously @AppleSupport, your Photos Agent background process is a joke. Using 186% of my CPU and draining my battery while charging.",@408995 We want to look into this. DM us with more information and we'll follow up there. https://t.co/GDrqU2kzhr,1232218,1232217
@AppleSupport iOS 11.1.1 is killing my iPhone 6s battery. We need a fix as soon as possible!,@716715 We want to work on this with you. Meet us in DM and we'll pick up from there. https://t.co/GDrqU22YpT,2515953,2515952
@180336 @AppleSupport The battery not holding the charge is the worst. Do something @AppleSupport,@595590 We'd like to better understand what's happening to see how we can help. Are we correct in saying your device doesn't charge? DM us: https://t.co/GDrqU22YpT,1598181,2014228
@AppleSupport Is the get ready for iPhone X upgrade for existing members completely up and running because this is what I get w/ VZ pin? https://t.co/QUJ8HWQkKw,"@375330 Thanks for reaching out to us today. We want to get you in touch with our Sales Support, click this link: https://t.co/RmFSlCBcIE",1082447,1082446
"@AppleSupport @115858 #ios1102 Problems: draining battery like hell, Constantly Iphone and keyboard freezing, APPS crashing... etc ... HELP!","@186229 We'll help out. To concentrate on one issue at a time, check these battery tips as a first step. https://t.co/bivpdfBNJ6",294912,294909
Also that box with the question mark can smd @AppleSupport needs to get on it,@525239 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1740877,1740876
Let's try this again. @AppleSupport my iPod is stuck on this screen. It won't update or restore through iTunes. Please help https://t.co/IRVcpha3Rf,@531802 Thanks for reaching out to us. We'd like to help out. Let's start with these setsp: https://t.co/9CFnZQoE0F,1768832,1768830
@115858 EVERYTIME I WRITE “I.t” I.t autocorrects TO I.t!!!!! HELP,"@267047 Let's team up and tackle your keyboard issue together. Which model do you have and what's the exact OS version installed on it?

When did this start and have you already tried any steps of your own?",2799460,2799458
@AppleSupport I havta individually swipe my notifs away instead of clearing them all at once in the IOS11 update?????? Thts bull crap!!!!,"@383592 We're happy to help. You can still close out all the notifications at once by tapping on the ""X"" at the top. Questions? DM us. https://t.co/GDrqU22YpT",1117129,1117128
"Really love @115858 and all, but when you can’t get calls for a good month it’s annoying. @AppleSupport","@476524 We're here to help out. Let us know specifically what's happening. Also, which iPhone do you have and what is the iOS version?",1536972,1536971
"Oh wow @AppleSupport , 10% battery reduction in less than 5mins. #iOS11 👏🏻👏🏻👏🏻👏🏻",@331582 We can help. Do you notice this while performing certain tasks on your iPhone?,891114,891113
Way to go @115858 my #iOS11 update makes the letter “I️” turn into a little “a” with a box around it.,@489557 We're here to help. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT,1592797,1592795
"@AppleSupport Thanks for the reply, they’ve all come back now!","@337310 Excellent news! If you need us down the road, we're here from 5am until 8pm Pacific time, daily, and always happy to help.",915187,915189
"@AppleSupport for the love of god, can we get an update for this “I️” nonsense?",@530234 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1762221,1762220
"Hey, @115858 - you broke iPhone7+ iTunes in Elantra through USB with iOS11, fixed it on 2nd patch, and broke it again with latest patch. 🙁",@607801 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU2kzhr,2055091,2055090
@AppleSupport hi so i updated my phone yesterday and now can no longer connect it to my car via usb???,"@806479 We certainly want you to enjoy your iPhone on the go. Let's take a look into this issue and work towards a resolution. To get us started, may we have a description of the issue? https://t.co/GDrqU22YpT",2913317,2913316
@AppleSupport iPhone 5s and 11.3,"@448425 Does it show the version number as 11.3 in Settings &gt; General&gt; About, next to version? DM the answer. https://t.co/GDrqU22YpT",1413225,1413227
"@115858 @AppleSupport  Is this green pixel supposed to be on my brand new iPhone X? Also, why can’t I just get a simple replacement phone at your stores? Why do I have to pay another grand to get a replacement or pay for “repair”?! https://t.co/QVEzzAx8eC","@666322 We know you expect the best from your new iPhone, and we'll do everything we can to help resolve this with you. Go ahead and send us a DM with the country you're located in, and we'll pick back up there. https://t.co/GDrqU22YpT",2294700,2294699
"@AppleSupport Latest ios 11.1.2
More than 10 days and some issues from beginning like screen freezing sometimes",@569775 Thanks!  Does it help to restart your iPhone?,2894700,2894698
"@AppleSupport Why do 22,000 pictures, taking 5.5GB in a MacOS folder consume 135GB in my ""Photos Library.photoslibrary""? Why?","@467804 Let's take a look into this together. Please send us a DM, and we'll get started. https://t.co/GDrqU22YpT",1497989,1497988
@AppleSupport my iPhone 7 is less than 10 months old and my earphones/handsfree have stopped working. #nothappy #Apple,@680110 We'd like to help get it working right. Are you having the issue with the EarPods that came with your iPhone? Have you tested another pair to rule out your iPhone's Lightning port?,2353702,2353700
".@115858 the new update to the iPhone is horrible, I am losing battery power at an alarming rate now. #horrible #howdoiundoit",@521047 Send us a DM and let us know what version of iOS you're running. We'll go from there. https://t.co/GDrqU22YpT,1721919,1721918
"@AppleSupport My iPhone is being incredibly unresponsive, and will just freeze at times, and take many minutes to catch up. Running IOS 7.0.3","@517923 We're happy to help you with this. Which iPhone model are you using, and was iOS 7.0.3 a typo or the actual version?",9281,1709258
"@AppleSupport I have restarted it twice now and still no difference, I mostly use it inside. This has been happening for about 24hrs now","@610274 Got it, thanks! So we can look closer into this with you, can you DM us which iOS version you're using? https://t.co/GDrqU22YpT",2063435,2063437
@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?,@184723 That's not the experience we want you to have. DM us using the link below. We'll work from there. https://t.co/GDrqU22YpT,288489,288488
@118845 why I’m not getting any useful answer every time I contact your support? ..It’s almosta month now,@561675  Hey there! We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,1882146,1882142
"@AppleSupport Yeah, do not disturb has been turned off","@710413 Thank you for checking. Do you notice if notifications aren't received by certain contacts or if it happens during a specific time of day? Also to clarify the issue, are you seeing the notification on the screen just not receiving the sound?",2487313,2487315
Got a call my CC info &amp; SSN were accessed. Checked all of my stuff and there’s two fake domains in my Passwords that have no site name &amp; won’t delete even when I️ reset my Keychain. @AppleSupport you wanna spot me for a new identity orrr? https://t.co/wb5ru2w4AN,@697403 We’d like to look into this with you. Please send us a DM to let us know details about the call you received. https://t.co/GDrqU22YpT,2888387,2888385
@AppleSupport thank you!!,@666708 You're welcome. Reach out if you need us in the future.,2296314,2296315
@AppleSupport I have the iPhone 7 plus and it just says update requested. It shows the update but it won't go any further from there.,@289410 Let's look into this together. Do you get any kind of error message when trying to update?,708652,708649
@AppleSupport Hello! My Apple Music seems to have been signed out? Or something.. basically I can't listen to my music and I dunno what to do,@807888 Got it. Can you tell us what is happening when you try to listen to music specifically? DM the answer below. https://t.co/GDrqU22YpT,2918900,2918902
I’ve gotten about 3 new phones for the SAME issue. Here for the 4th? Getting real tired @115858,"@714745 We understand the importance of being able to rely on your iPhone. Message us in DM where we can learn a bit more about what's going on, and work with you to reach a definitive solution. https://t.co/GDrqU22YpT",2506771,2506770
@AppleSupport Please I need to know if anyone else have battery draining issues after upgraded to ios 11. I bought my iphone 8 and i dont know if the problem is the phone or ios...,@669398 We'd like to look into this with you. DM us details of the battery issues you're having with your iPhone 8 and we'll work with you on resolving the issues you're having. https://t.co/GDrqU22YpT,2307575,2307574
"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",@335864 Hi there. We can definitely look into this further with you. Which macOS are you running currently? DM us and let us know. https://t.co/GDrqU22YpT,2837178,2837177
"@AppleSupport my ipad camera has had a black screen for a while, where are some places I could have it checked/fixed if anything wrong?",@572134 Thanks for reaching out to us for support. We’d love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT,1921884,1921883
@115858 umm i just wanna talk to yall about this update.. i just want to talk.,"@464936 Sure, join us in DM if you have concerns about the update and we'll do our best to assist. https://t.co/GDrqU22YpT",1485395,1485394
"Not getting consistent push notifications from @4305 since upgrading to iOS 11
Is this an issue with your APNs @AppleSupport ?",@303628 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,769024,769023
@AppleSupport Hello. I believe I’ve been sent a fake e-mail by someone posing as Apple saying my account will be closed. Odd. Can you help?,@136047 Hey there! This article should help: https://t.co/LNMCdqt6fD Join us in DM if you would like additional help! We're here for you https://t.co/GDrqU22YpT,1763555,1763554
"@AppleSupport @AppleSupport to unlock my iPhone, it happened every time. Sorry I took so long to answer, had to buy a new one 😕. The old one says Error 9 when trying to restore. Is there a solution?","@134161 We’ll want to be sure to follow the steps listed here for restore error 9: https://t.co/lMMVPdjGNN 

Let us know if you’re still having issues after completing the steps.",82058,82056
Not sure if i mentioned it or not but this @115858 update sucks big time! My phone is shit now. That is all.,@335764 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,908496,908495
