customer_message,brand_reply,customer_tweet_id,brand_tweet_id,candidate_intent
@AppleSupport Yes it is. And ahe hasn’t logged out from her apple id. https://t.co/WWvJcFopZ8,"@532501 Let's toggle iCloud Photo Library off and back on again. That may jump-start the synchronization. If that doesn't do the trick, let's meet up in DM. https://t.co/GDrqU22YpT",2753622,2753624,apple_id_account_issue
@AppleSupport I️ want this keyboard thing fixed,@503862 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1649543,1649542,keyboard_autocorrect_issue
@115858 why does WiFi and Bluetooth turn on automatically all the time? Fix it my batterie needs life!!!!!!,"@205070 We're here for you. So that we can best assist, please share with us your current iOS version. https://t.co/ZTw54HL4Rm",375586,375585,calls_network_issue
"@AppleSupport I’m having trouble to enable my Apple ID again, I managed to recover it but it still says “Your Apple ID has been disabled”","@656908 Hey there! We appreciate you reaching out to us about this. Shoot us a DM with the steps you've already taken, and we'll use that information to craft your next steps. https://t.co/GDrqU22YpT",2255350,2255349,apple_id_account_issue
"@AppleSupport It’s not a huge deal, but after I updated to iOS 11 my Calls App icon looks weird (see photo). Any ideas? https://t.co/CFGrgpep7P",@554153 Thanks for reaching out to us for support. Can you tell us what happens when you restart your device? Does the issue persist?,1851391,1851389,ios_update_issue
@AppleSupport home button randomly stopped working. #AssistiveTouch activated but not ideal. Any recommendations / average price to fix? #iphoneproblems,"@667600 Send us a DM. We'd be happy to start looking into options with you. Let us know the country you're in, the type of iPhone and iOS it's running, please. https://t.co/GDrqU22YpT",2300177,2300176,accessibility_feature_issue
"@AppleSupport Sometimes I noticed other playlist not displayed too - but currently only this.

I have to search for this playlist again and again.

My iOS version: 11.1.2",@272341 Good to know. Let’s continue to look into this in Direct Message: https://t.co/GDrqU22YpT,694505,694506,device_hardware_issue
"@AppleSupport I have MacBook Air, 10.12.6 and iPhone 5, apple ID __email__. IMessage and iCal no?t synching. Can't fine out what I'm missing. Suggestions",@713698 We are always happy to help out. Let's start with the calendar issue. Which iOS version is installed on the iPhone? When did you first notice they weren't syncing? Has a restart been tried? DM us your answers: https://t.co/GDrqU22YpT,2502138,2502137,apple_id_account_issue
@AppleSupport Tried to re-download Instagram and was told I need billing information. Typed in my information exactly and it told me my information was wrong. Please fix this ASAP.,@229215 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,480595,480594,purchase_billing_issue
So @115858 when are you going to fix the letter “I” on our iPhone keyboard?,@595730 We want to help you out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,2014688,2014687,keyboard_autocorrect_issue
"Dear @115858 , we still have a bug after update iOS 11.0.3 https://t.co/eXhMJphKK3",@473748 Let's see what we can do to help. Send us a DM and we can check on available options. https://t.co/GDrqU22YpT,1525193,1525192,ios_update_issue
@AppleSupport Apple Music lags a lot on my iPhone 7 running iOS 11.1.1. Already did a factory reset but the issue still persists. I have around 1600 songs in my playlist.,@229934 That's not the ideal experience when you're trying to listen to music. Let's chat over in Direct Message and we'll see what's causing it to lag. https://t.co/GDrqU22YpT,612900,2229311,apple_music_media_issue
My iPhones battery doesn’t last for an hour and I takes forever to charger and I got another from insurance for 200$ and still what’s up with that?@115858 @AppleSupport,@666919 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT,2297304,2297303,purchase_billing_issue
@546014 @AppleSupport my iphone 6s' battery fucking blows.,@546013 We are here to help whenever possible. DM the country or region where you are currently located to get started. https://t.co/GDrqU22YpT,1817761,1817760,battery_power_issue
@AppleSupport can u explain why my phone has been dying every 10 min &amp; is still dead after 3 hrs of charging after getting this new update??,@595211 Thank you for reaching out. That is not what we like to hear. Let's work to get this resolved. DM us the device and iOS in use. https://t.co/GDrqU22YpT,2012978,2012977,battery_power_issue
"Tengo un iPhone 8 en el cual no puedo usar mi suscripción a Apple Music sólo por comprar una iTunes card en otro país.
Gracias, @115858 @115948. 🙂",@701324 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,2447518,2447517,apple_music_media_issue
Can I suggest to @AppleSupport that an option be added for the iPhone X to have battery % displayed up top instead of an icon?,@181685 You can submit that feedback to us directly by using this link  https://t.co/eTPVYVFyd8,274943,274942,device_hardware_issue
this ios 11 garage band app crashing bug is sooo annoying like i'm tryna do a cover can you guys fix this already ty @AppleSupport,@757377 We have GarageBand experts that can help with this. Get in touch with them here: https://t.co/IBIY3vMgPj,2695057,2695056,app_issue
"@AppleSupport 
Thanx for ios 11.1 my iphone is dead !","@525240 We’ve got your back. Do you see anything on your the screen? If not, let’s try this guide: https://t.co/8MvHMFZ83h",1740881,1740879,ios_update_issue
"does anyone's IPhone  autocorrect the word ""that"" to this... tha\t' &lt;--- it started doing it out of nowhere and I can't fix it! #apple #iPhone @115858",@223545 Let's help you with this. Is this the only word you are having issues with? Which iOS version is your iPhone using in Settings &gt; General &gt; About?,457174,457172,keyboard_autocorrect_issue
@AppleSupport how can i make my macbook stop asking me to update icloud? i do not want to use the cloud. i never will.,"@306541 We want you to enjoy your Mac; we'll do all we can to help. To get started, let us know what country you're in via DM: https://t.co/GDrqU22YpT",1930694,1930693,icloud_issue
Is there anyway to stop getting the iCloud backup message on my phone 📱 I don't want to update my iCloud 😩@AppleSupport,"@682682 Thanks for reaching out to us. We'll do everything we can to assist. So that we understand clearly, what's the exact iCloud message you're seeing?",2364577,2364575,icloud_issue
@applesupport I was used Wi-Fi connection,@460805 Thank you. Have you tried without Wi-Fi or on another network?,1468296,1468298,calls_network_issue
"@AppleSupport upgraded my phone to the latest iOS yesterday. Today it has decided to start playing radio stations on its on while it’s locked and sitting on the other side of my desk - seems to be from the Apple Music app, I don’t even use that app? New bug?","@621258 Let's work together to get to the bottom of this. How often does this happen? Are you able to stop the music from playing? If so, how?",2618348,2618346,apple_music_media_issue
@115858 can you please tell me the Twitter handle for help with frequent flyer points with Apple purchases in Australia? Thx.,@424994 Great question! Let's have you reach out to your regional support for additional guidance here: https://t.co/IBIY3vMgPj,1305216,1305215,purchase_billing_issue
@115858 I am having problems on iPhone 7 with voiceover since updating to iOS 11 keyboard disappears and wrong letters when typinrg,"@397862 You've reached the right place for support. To start, can you tell us the exact iOS 11 version you're using?",1181524,1181522,accessibility_feature_issue
@115858 repeats itself.! Again some shitty update n phones battery gone for a toss #ios #ios11 #ios1111,"@775370 We know how important it is for your battery to last as long as possible and we'd like to help. To start, DM us with the country where you're located and the exact iOS version you're currently using. You can find this by going to Settings &gt; General &gt; About. https://t.co/GDrqU22YpT",2774418,2774417,battery_power_issue
@115858 get your shit together. My phone has been glitching and freezing for two weeks and the new update has my keyboard all fucked up.,@498955 We'd be happy to help. Send us a DM with a few details and we can start there. https://t.co/GDrqU22YpT,1630170,1630169,keyboard_autocorrect_issue
"Hey @115858, how the f*uck do I turn of this terrible new (dis)connect wifi and bluetooth feauture?! Damn, how it sucks!!",@209482 Let's us help today. See this link for information on Bluetooth &amp; Wi-Fi in Control Center: https://t.co/G7BHuQnDS6,394572,394568,calls_network_issue
@AppleSupport then the display doesn’t respond to touch anymore and eventually crashes,@290072 Thanks for that information. DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,711154,711157,device_hardware_issue
"@AppleSupport Why can't I turn off two-factor without having to change all my passwords? Is it because of iCloud? I DON""T USE THAT!",@197905 We're happy to help. Check the steps here: https://t.co/RONuUjClwW Take a look at the information at the bottom of the article.,344383,344382,icloud_issue
Ughhhh STILL mad about how this iOS update has ruined the podcast app @AppleSupport,@607939 We'd love to help. What device are you using with Podcasts? Tell us more about your concerns in DM and we'll take it from there. https://t.co/GDrqU22YpT,2055664,2055663,apple_music_media_issue
"Hey @115858 - the update to the podcast app is #Terrible. It’s everything your company is against - not intuitive, cumbersome &amp; frustrating.",@437255  Thank you for reaching out. You can give feedback and suggestions via this link: https://t.co/yA4RVQfV0I,1362544,1362543,apple_music_media_issue
@AppleSupport I am very disappointed with the performance of iOS 11 on my 6 plus.  Constantly freezing up.  Have been a big iPhone supporter for many years but now thinking of changing to android.  Not enough alpha testing on all devices.,"@257992 We understand how important it is for your iPhone to perform as expected, and we're happy to help! Send us a DM with your current iOS version, and we'll proceed from there. https://t.co/GDrqU22YpT",584743,584742,ios_update_issue
@AppleSupport I found a link where someone explained it. It’s just the password to log in to your comp. No idea that was an iCloud password.,@209487 We're glad to hear you were able to get this figured out! If you need anything else just message us again. https://t.co/GDrqU22YpT,394585,394587,icloud_issue
Hey @123765 and @115858 why is Twitter app unusable on iOS without losing my podcast/music I’m alreaDy listening to? This only started today and it’s way annoying.,"@143499 We'd like to know more to assist. Which iOS are you currently using? Also, we'd like to clarify do your podcasts and music stop playback when opening the Twitter app? Let us know the details and we'll continue.",123124,123122,apple_music_media_issue
Hello @AppleSupport ! Is there a problem with IOS11 and WiFi networks? My iPhone &amp; IPad keep disconnecting.,@588056 We are here to help. DM us your exact iOS version and we can take a look at this. https://t.co/GDrqU22YpT,2187675,2187674,calls_network_issue
"@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ nice bug, when is this going to get fixed, I’m typing the lower case i and get auto correct I️",@533801 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,1776351,1776349,keyboard_autocorrect_issue
"@118721 @115858 @AppleSupport are you kidding me?! every month I'm getting emails ""Payment method problem"". WTF?!",@320385 Hey there! Let's get you in the right direction for support. Please contact our iTunes team: https://t.co/SDIe7UiyJN,842502,842501,purchase_billing_issue
@AppleSupport the accessibility zoom on High Sierra keeps freezing like zoomed in and its an issue... What should I do,"@421320 We'll be happy to help you with the accessibility features on High Sierra. To confirm, does the entire Mac stop responding when using the feature? Have you tried restarting the Mac? Are you running macOS 10.13 or 10.13.1?",2431334,2431333,accessibility_feature_issue
"@AppleSupport , I use iPhone 6s. Since a couple of months my phone once a week gets switched off on its own while the battery is still 20-90%. Updated all IOS whenever they came. Still facing problems even after IOS11.1.1. What to do?",@734924 Let's take a look and get this fixed for you. Have you noticed if the shut down occurs when using any particular app? Let's update to the latest iOS 11.1.2.  DM us if the issue continues after updating. https://t.co/GDrqU22YpT,2595511,2595509,battery_power_issue
iOS 11 be killing my battery fast af wtf @115858,@474170 We'd like to look into your concerns with you. Contact us via DM using the link below. https://t.co/GDrqU22YpT,1526998,1526997,ios_update_issue
"It’s become too slow ,apps not working properly @AppleSupport",@125183 Let's get you back to enjoying your device. What kind of Apple device are you using? https://t.co/GDrqU22YpT,41713,41712,app_issue
"Camera app crashes, the unlock screen won’t unlock, phone keeps freezing up. #ios11 is killing my iPhone 7. @AppleSupport send helppp.",@329572 We'd be happy to look into issues you're experiencing. Please DM us. https://t.co/GDrqU22YpT,882582,882581,app_issue
"@509244 @AppleSupport Is there a fix?  Should people not download 11.1?  I've not, but my 6s phone is in meltdown last 24 hrs.  Battery and switching off",@516503 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,1673539,1703844,battery_power_issue
@AppleSupport can you help me with this ? i dont have an iphone and have not purchased netflix!! ?? https://t.co/5xg1atOdS5,"@534924 We are glad you reached out. Let's meet up in DM. For now, do not click any links or attempt to sign in via the email. https://t.co/GDrqU22YpT",1780465,1780464,purchase_billing_issue
"So I️ was trying to ignore the autocorrect issue, but @AppleSupport why is this STILL an issue 😤",@515199 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1698646,1698645,keyboard_autocorrect_issue
"Hi @115858 
Your latest IOS update has left my iPhone running really slow and killing my battery faster than ever.
Is this normal? Thanks",@526941 We'd be happy to look into this with you. Send us a DM so we can help you there. https://t.co/GDrqU22YpT,1748027,1748026,ios_update_issue
@610676 @115858 My 6S Plus has been terrible since I installed. Choppy. Buggy. Terrible battery life.,@610675 We're happy to look int these issue with you. Let us know in DM if you've updated to iOS 11.0.2 to get started. https://t.co/GDrqU22YpT,2065050,2065049,battery_power_issue
@AppleSupport Awesome! I have a 6s and I'm using Wifi. To use ITunes do I have to do it on a mac?,"@791137 You can update via iTunes on a Mac or a PC so long as it has the latest version of iTunes. For more info on how to update using iTunes, check out this article: https://t.co/80YRnjDFDk",2843863,2940375,calls_network_issue
"@AppleSupport 6S, iOS 11.0.2",@128696 The steps to follow are under ‘See sticker details’ here: https://t.co/Bb4T9qBZPG We also recommend updating to iOS 11.0.3.,770969,770966,ios_update_issue
Is anyone having issues with Apple Music? @115858 @115948,@136054 Hey there. Help is here! Let's talk about your Apple Music. DM us and share what you're experiencing to get started: https://t.co/GDrqU22YpT,1920088,1920087,apple_music_media_issue
@AppleSupport Wifi as I usually do....should I use iTunes ? Kinda frustrated,"@580794 Yes, if the over the air update method won't work you can just install your update through iTunes. Here's some steps you can try before installing through iTunes: https://t.co/p76Gaa97kg DM us with any questions; we're here for you. https://t.co/GDrqU22YpT",2454532,2454531,calls_network_issue
@AppleSupport ¿Porque pongo mi ID de y contraseña y me dice que no se puede conectar y que lo intente de nuevo? Vaya mierda de #icloud,@531296 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,1766777,1766776,icloud_issue
@115858 @AppleSupport #iOS11 Quisiera activar/desactivar wifi y bluetooth cd yo quiero y no cd le da la gana a mi #iphone #AsiNoActualizo 😡🙌🏼,@177700 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3w3RGR or join https://t.co/OczyRxpjG0,259448,259447,calls_network_issue
@AppleSupport It shows up there but not in my library or in my purchased music,"@144856 Let's have you reach out to our iTunes Store team here: https://t.co/SDIe7UiyJN

They will be a better resource regarding this issue. Thank you.",514828,514830,purchase_billing_issue
"@AppleSupport the app crashes. Is there a bug on the latest version of High Sierra, or am I doing something wrong?",@616022 We can definitely look into this with you. Do you see any error messages or does the app just quit? Let's move to DM: https://t.co/GDrqU22YpT,2082981,2082978,app_issue
@AppleSupport What is 'profile' and 'Secure' in iCloud? https://t.co/JqToSmfVv2,@134137 Let's find out. Send us a DM with your software version to get started. https://t.co/GDrqU22YpT,81982,81981,icloud_issue
Anyone else having issues with iPhone X touch screen not being responsive in the cold? #firsttimeforthat #iPhoneXproblems #iphone @AppleSupport,"@663667 That's a great question. The iPhone is designed with an optimal temperature range, and while it can be used in temperatures outside of this range, you might find it behaves oddly. This article covers those specific ranges: https://t.co/otCvUAaFQq",2283681,2283679,device_hardware_issue
@AppleSupport was there a bug in iOS 11? Because ever since the update my phone has been freezing and losing some touch screen capabilities.,@759915 We'd be happy to help. Send a DM and we can start from there. https://t.co/GDrqU22YpT,2705806,2705805,device_hardware_issue
the iPhone i have to send back to the store won’t let me sign outa my Apple ID to factory reset… @AppleSupport,@412988 We're glad to help. Are you getting an error message when you attempt? Let us know in DM. https://t.co/GDrqU22YpT,1248744,1248743,apple_id_account_issue
@116450 @AppleSupport can you fix this autocorrecting every “I️” bug?,@514895 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1697456,1697455,keyboard_autocorrect_issue
"@AppleSupport Windows 10 and I only downloaded it. I tried to log in but it gave me the message saying my Apple ID had to be used on iOS, is that not my phone?","@288337 That's right and you also mentioned it's already set up and signed in on your iPhone. Have you tried a restart of both?

Also, are there any updates showing if you check for Windows updates?",704454,704452,apple_id_account_issue
@AppleSupport my battery issue has not been resolved. I went to the Apple store and you guys wanted to charge ME $100 for YOUR defect ? NoTY,@162277 Thanks for bringing this to our attention. Click here to meet us in DM. We'll pick up there: https://t.co/GDrqU22YpT,851682,851681,purchase_billing_issue
"@AppleSupport Please allow the ability the fix the position of the AssistiveTouch accessibility feature ( bottom middle, bottom right, bottom left, etc). Also, make the iPhone X recognize a swipe up from the bottom to unlock when the screen is black for faster Face ID unlocking.",@669666 Thanks for reaching out to us. We truly value your input. Please use the following link to provide us with feedback and/or suggestions: https://t.co/ODFtc9V7Tq,2308725,2308724,accessibility_feature_issue
Ei @AppleSupport vcs vão dar um jeito no icloud ou eu posso cancelar a assinatura?,"@760190 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",2706868,2706867,icloud_issue
CAN YOU PLEASE FIX THE KEYBOARD LAG @AppleSupport 😭,@508561 This is not the experience we want for you. We'll be happy to work on this together. Can you confirm which iOS version you're using on your device? You can locate the iOS in Settings &gt; General &gt; About &gt; Version.,2572038,2572036,keyboard_autocorrect_issue
"@AppleSupport will Apple usb-c to thunderbolt 2 adapter make all ports on Thunderbolt Display work on 2017 MacBook Pro, including Ethernet?","@555702 Thank you for reaching out to us. For more info about that, take a look here: https://t.co/WcIdHXLcwQ DM us with any questions. https://t.co/GDrqU22YpT",1858461,1858460,device_hardware_issue
i don’t want to turn off autocorrect so like!!! @115858 can you fix this for fucks sake,"@632401 We use auto-correct, too, so we'd love to help you with this. Have you already updated your iPhone to iOS 11.1.2? Let us know in DM and we'll work together to get this resolved. https://t.co/GDrqU22YpT",2152091,2152090,keyboard_autocorrect_issue
"@AppleSupport whevetr i turn on accessibility settings like speak screen or zoom feature, the iOS response goes for a toss.  Plz connect me to your accessibilty team",@665537 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,2291583,2291582,accessibility_feature_issue
@AppleSupport how do I fix this issue with lock screen not displaying time or notifications? Resets don’t work. https://t.co/ak4yt5ELj2,@384295 We'd love to assist you with this issue. Please click here to join us in DM. https://t.co/GDrqU22YpT,1120242,1120241,device_hardware_issue
@115858 why wont you send me a verification code so i can sign into my account?,@187560 We want to help. Take a look at the info in this link and let us know if you are still having issues: https://t.co/dSCGMAN0vv,300091,300089,apple_id_account_issue
@AppleSupport who is the best person to ask about PODCAST questions in terms of publishers?,"@567986 We'd be happy to get you pointed in the right direction. DM us more detail about your issue, and we'll go from there. https://t.co/GDrqU22YpT",1906180,1906177,apple_music_media_issue
"@AppleSupport Please add new options for AssistiveTouch on iPhone X, like simulate double click on power button or switch off phone.",@148136 We're always looking to improve your experience. Let us know what you'd like to see here: https://t.co/eTPVYVFyd8,1525112,1525111,accessibility_feature_issue
Yo can @115858 tell me why my home button randomly cracked. K thanks.,@788718 Send us a DM and let us know what country your in. We'll go over your available service options. https://t.co/GDrqU22YpT,2833116,2833115,device_hardware_issue
How is my phone dying while plugged into the charger @115858 @AppleSupport,@808827 This isn’t expected behavior and we'd like to help. We’ll work through fixing this together. Can you tell us what type of charger and iPhone you're using?,2922705,2922704,purchase_billing_issue
@AppleSupport updated to 11.2 &amp; now my messages app crashes anytime I try to open it !!,@628094 Hi there. We got your DM and will continue with you there.,2134886,2134885,app_issue
Dear @115858 Please fix the podcast app. I miss knowing which archived episodes I haven't listened to and when the home screen display was accurate and functioning.,@630999 We'd be happy to help with your device not working as expected. Can you tell us more in DM? https://t.co/GDrqU22YpT,2146542,2146541,apple_music_media_issue
@AppleSupport My battery is dying very quickly after the 11 upgrade,@168280 Let's take a look at this together. DM us your iOS version to get started. https://t.co/GDrqU22YpT,208234,219206,battery_power_issue
"Help me Apple!!!!!  

Every time I go onto a app the app crashes is there anyway to fix this? @AppleSupport","@231625 We'd love to help. Can you DM us your complete software version from Settings &gt; General &gt; About, next to version? https://t.co/GDrqU22YpT",489673,489672,app_issue
@115858 Now it barely plays off WiFi! Fix it 😡 @115948,"@297219 We'd be happy to look into your Apple Music with you. Send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",741006,741005,calls_network_issue
@AppleSupport The problem burning up in my pocket by the Touch ID/Home button is also not working.,@404287 We'd like to look into this further.  Send us a DM with your current location and we'll go from there. https://t.co/GDrqU22YpT,1211215,1211214,device_hardware_issue
@AppleSupport low blow apple ... after this last update my battery on my 6 plus and me are at war #forcetheupgrade,"@573918 Hi Josh! We know how important your battery life is. So we can look into this, DM us which version of iOS 11 you're using. https://t.co/GDrqU22YpT",1928536,1928535,battery_power_issue
"@AppleSupport, 7 plus keeps crashing out of apps and returning to lock screen.  Also after restoring from backup, all apps won't dl over wifi or cell.  What gives?  Have removed SIM, still no joy... #nothappy #iosupdate",@245212 Thank you for taking the time to reach out to us. We'd be happy to look into this with you. Have any apps downloaded? Do they show that they're attempting to load?,539895,539894,calls_network_issue
@AppleSupport this is the first ever time I'm facing such problems after the upgrade! My battery also started dying so much sooner,@183386 Which iOS 11 version is installed on your iPhone? Which iPhone model is it? When did you install the version you have now?,398852,398850,battery_power_issue
@115858 Please provide a way to software update an iPhone before setting it up - couldn't restore my iCloud backup since it was from iOS 11.1,@477006 Meet us over in DM and we can guide you through how to update the iPhone and then restore that backup. https://t.co/GDrqU22YpT,1538825,1538824,icloud_issue
"@AppleSupport App crashes,  hiccups in the UI, battery drain and bugs throughout the OS. It feels like it is still in beta","@301101 Thanks for getting us this information. If you go into Settings &gt; General &gt; About, what does it show there for the Version?",757850,757852,app_issue
"Will I lose everything on my phone if I make a new Apple ID? 
@AppleSupport",@465980 Great question! Help is here. Any purchases made on your previous Apple ID will not be accessible through the new Apple ID.,1489604,1489602,apple_id_account_issue
@AppleSupport iPad is on 11.0.2 and iMac is 10.12.6. Same iCloud account on all devices,"@143491 Let's update your iPad to the latest version of iOS: https://t.co/80YRnjDFDk If the issue persists after updating, send us a DM and we will continue working with you. https://t.co/GDrqU22YpT",123095,123094,icloud_issue
"7 attempts across 2 computers with iTunes and iCloud backup and still unsuccessful restoring a backup from my old iPhone to the new one. 

#BadDesign @AppleSupport",@654854 We'd like to help with this. Here is an article that can help. https://t.co/lOVrD5pu5o Please DM us if you need further help. https://t.co/GDrqU22YpT,2286867,2286866,icloud_issue
Am I the only one whose iPhone’s battery lasts half as long following the latest @115858 update?,@197445 Let's look into this together. Could you tell us which iPhone and iOS version you're using?,340921,340919,battery_power_issue
@AppleSupport my husband bought an app it needs to be updated except the developers pulled it off of the Apple market 🙄 can we get a refund?,@451432 We're here to help. Please reach out directly to our iTunes team so they can look into this with you: https://t.co/SDIe7UiyJN,2533279,2533278,purchase_billing_issue
"@AppleSupport dear Apple, how do I delete my Apple ID?",@768343 We've received your DM and will respond to you there shortly.,2743081,2743080,apple_id_account_issue
@AppleSupport iOS 11.1 is 11 GB in my 16 GB iPhone 6 Plus. How do I get my memory back?,"@500870 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT",1637772,1637771,ios_update_issue
SOMEONE PLEASE HELP ME STOP MY MESSAGE APP CRASHING!!!!!!!! @115858 @AppleSupport @115858 https://t.co/9dqziHfwfd,@796889 Thank you for reaching out. We've received your DM and will continue working with you there.,2869649,2869647,app_issue
"@AppleSupport the new iOS is awful. My phone has to be restarted daily due to calls &amp; apps not working, and my home button stopped working",@558685 Thanks for reaching out. We'd like some details to help. Which iPhone model do these issues occur on? Let us know in a DM. https://t.co/GDrqU22YpT,1870673,1870672,device_hardware_issue
"@115858, I will never be convinced that swiping down from the top right is the ideal way to access Control Center. It is profoundly uncomfortable that such an essential part of iOS essentially requires both hands. Please rethink this, for the sake of iPhone's future accessibility.",@582048 Thanks for reaching out! We'd recommend leaving that request on our feedback page: https://t.co/eTPVYVFyd8,2110846,2110845,accessibility_feature_issue
